normalization,m0,m1,eta,nk,n_shell,n_keep,partner,dimension,central_bandwidth_meV,interband_weight_mean,interband_weight_std,interband_weight_min,interband_weight_max,diag_gap_norm_mean,total_gap_norm_mean,gauge_projection_error_mean,gauge_projection_error_std,gauge_projection_error_min,gauge_projection_error_max
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.0,3,3,4,conjugate_k,196,12.391444175240082,-1.2335811384723978e-17,3.489094352630616e-17,-1.110223024625158e-16,0.0,2.0,2.0,3.609277049436465e-16,1.3663275218952524e-16,1.970046522679165e-16,7.013726470620153e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.1,3,3,4,conjugate_k,196,12.391444175240082,0.000759862927304551,0.0003573909015892143,0.00039365011122152694,0.001664558816201043,1.9900337829424193,1.9907895996546223,3.7047743917154604e-16,1.349640143854016e-16,1.6996754212500035e-16,6.426905181909945e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.25,3,3,4,conjugate_k,196,12.391444175240082,0.004740338279755945,0.002255796941768175,0.0023924527409118013,0.010351464498492068,1.9419456611689898,1.9465509581451963,3.6736719988518864e-16,1.0447943292352753e-16,2.3750386742914304e-16,5.949836539065807e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.5,3,3,4,conjugate_k,196,12.391444175240082,0.018725950660032104,0.009137434647392311,0.009073887161012534,0.040359021935494004,1.79733422714289,1.814264186606091,3.2759672083887753e-16,8.441694415722467e-17,2.2367509773969555e-16,4.67742692619215e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,0.75,3,3,4,conjugate_k,196,12.391444175240082,0.041106085177357025,0.02067691734009812,0.019222273151563607,0.08675380871157531,1.6186541858881398,1.6524852419261424,3.8834430789742894e-16,7.983800061286907e-17,2.752885053089809e-16,5.134117459283455e-16
fixed_frobenius_norm,tau0_sigma0,taux_sigmax,1.0,3,3,4,conjugate_k,196,12.391444175240082,0.0703977548100328,0.03656094080431572,0.0319919749196027,0.1447977842540678,1.444775045862658,1.4973473489767235,3.7875125003921567e-16,8.880869045044253e-17,2.3828734902612435e-16,5.239976688600123e-16
fixed_delta0,tau0_sigma0,taux_sigmax,0.0,3,3,4,conjugate_k,196,12.391444175240082,-1.2335811384723978e-17,3.489094352630616e-17,-1.110223024625158e-16,0.0,2.0,2.0,4.720123990468749e-16,1.2390454935453763e-16,2.9905748389119706e-16,6.987958157266197e-16
fixed_delta0,tau0_sigma0,taux_sigmax,0.1,3,3,4,conjugate_k,196,12.391444175240082,0.0007598629273045634,0.0003573909015892189,0.00039365011122166247,0.0016645588162011186,1.9999592000400002,2.0007187864350007,3.851846935255174e-16,9.828635603878973e-17,1.9410363620217366e-16,5.017331338182261e-16
fixed_delta0,tau0_sigma0,taux_sigmax,0.25,3,3,4,conjugate_k,196,12.391444175240082,0.0047403382797559165,0.002255796941768141,0.002392452740911728,0.010351464498491897,2.0017117700524176,2.006458801519976,4.171568280358764e-16,1.3942117984376942e-16,2.4344012339511366e-16,7.035304003845903e-16
fixed_delta0,tau0_sigma0,taux_sigmax,0.5,3,3,4,conjugate_k,196,12.391444175240082,0.018725950660032104,0.009137434647392298,0.009073887161012512,0.04035902193549389,2.009480755089274,2.028409025197291,5.129263137157276e-16,1.4593387672108954e-16,3.664640632194177e-16,8.385059628547692e-16
fixed_delta0,tau0_sigma0,taux_sigmax,0.75,3,3,4,conjugate_k,196,12.391444175240082,0.04110608517735697,0.02067691734009814,0.019222273151563662,0.08675380871157538,2.0233177323601748,2.0656065524076777,3.756087752330844e-16,1.2131751465092707e-16,2.0202542678253245e-16,5.894598352261535e-16
fixed_delta0,tau0_sigma0,taux_sigmax,1.0,3,3,4,conjugate_k,196,12.391444175240082,0.07039775481003278,0.03656094080431565,0.031991974919603046,0.1447977842540676,2.043220464437182,2.1175689285062824,4.0235231735601927e-16,9.825327277070038e-17,2.682000051625521e-16,5.463265429395367e-16
