mu_meV,nk,n_shell,n_keep_proxy,n_flat_bands,spin_valley_degeneracy,nu_proxy,nu_flat,flat_occupied_bands_per_flavor,flat_occupation_fraction,flat_band_min_meV,flat_band_max_meV
-5.0,7,3,6,2,4.0,-1.4829931972789114,-4.0,0.0,0.0,-1.051183282101863,4.133850529710639
-4.0,7,3,6,2,4.0,-1.3333333333333335,-4.0,0.0,0.0,-1.051183282101863,4.133850529710639
-3.0,7,3,6,2,4.0,-1.0612244897959187,-4.0,0.0,0.0,-1.051183282101863,4.133850529710639
-2.0,7,3,6,2,4.0,-0.8571428571428572,-4.0,0.0,0.0,-1.051183282101863,4.133850529710639
-1.0,7,3,6,2,4.0,-0.6530612244897962,-3.836734693877551,0.04081632653061224,0.02040816326530612,-1.051183282101863,4.133850529710639
0.0,7,3,6,2,4.0,-0.38095238095238115,-2.2857142857142856,0.42857142857142855,0.21428571428571427,-1.051183282101863,4.133850529710639
1.0,7,3,6,2,4.0,-0.054421768707483054,-0.3265306122448979,0.9183673469387755,0.45918367346938777,-1.051183282101863,4.133850529710639
2.0,7,3,6,2,4.0,0.12244897959183687,0.7346938775510203,1.183673469387755,0.5918367346938775,-1.051183282101863,4.133850529710639
3.0,7,3,6,2,4.0,0.39455782312925125,2.36734693877551,1.5918367346938775,0.7959183673469388,-1.051183282101863,4.133850529710639
4.0,7,3,6,2,4.0,0.6666666666666665,3.9183673469387754,1.9795918367346939,0.9897959183673469,-1.051183282101863,4.133850529710639
5.0,7,3,6,2,4.0,0.8571428571428568,4.0,2.0,1.0,-1.051183282101863,4.133850529710639
