candidate,theta_deg,n_shell,nk,mesh_variant,band_selector,bandwidth_meV,D_total_eV_A2,D_conv_eV_A2,D_geom_eV_A2,geom_fraction,target_D_total_eV_A2,target_D_conv_eV_A2,target_D_geom_eV_A2,target_geom_fraction,D_total_relative_delta,D_conv_relative_delta,D_geom_relative_delta,geom_fraction_delta
double_conv_full_curv_all_tauz,1.05,3,14,gamma_centered,central_pair,6.209030251584688,66.18343251073965,53.82805259304187,12.355379917697777,0.18668387916708395,67.5,53.0,14.5,0.215,-0.019504703544597768,0.015623633830978534,-0.14790483326222226,-0.028316120832916042
double_conv_full_curv_all_tauz,1.2,3,14,gamma_centered,central_pair,11.731393211406735,68.24150215708468,51.271388893696226,16.970113263388463,0.2486773111225639,67.5,53.0,14.5,0.215,0.010985217141995296,-0.032615303892523984,0.1703526388543768,0.03367731112256389
double_conv_half_curv_all_tauz,1.15,3,14,gamma_centered,central_pair,9.432332559115395,69.13807022200258,57.74414869890492,11.393921523097658,0.1647995306567241,67.5,53.0,14.5,0.215,0.024267706992630922,0.08951223960197963,-0.21421230875188568,-0.050200469343275905
double_conv_half_curv_all_tauz,1.0,3,14,gamma_centered,central_pair,6.400329751890089,64.28310547955938,54.187494333027374,10.095611146532013,0.15704921333867725,67.5,53.0,14.5,0.215,-0.047657696599120225,0.022405553453346716,-0.30375095541158526,-0.05795078666132275
double_conv_half_curv_all_tauz,1.05,3,14,gamma_centered,central_pair,6.209030251584688,58.75666559041679,46.40128567271901,12.355379917697777,0.21028048126190707,67.5,53.0,14.5,0.215,-0.12953088014197356,-0.12450404391096204,-0.14790483326222226,-0.004719518738092926
double_conv_all_tauz,1.15,3,14,gamma_centered,central_pair,9.432332559115395,59.684224382267715,48.290302859170055,11.393921523097658,0.19090340271696338,67.5,53.0,14.5,0.215,-0.11578926841084869,-0.0888622102043386,-0.21421230875188568,-0.02409659728303662
double_conv_half_curv_all_tauz,1.2,3,14,gamma_centered,central_pair,11.731393211406735,58.788412594130975,41.81829933074251,16.970113263388463,0.28866425396699075,67.5,53.0,14.5,0.215,-0.12906055416102258,-0.21097548432561297,0.1703526388543768,0.07366425396699075
double_conv_full_curv_all_tauz,1.0,3,14,gamma_centered,central_pair,6.400329751890089,73.06215291093083,62.966541764398826,10.095611146532013,0.13817839667056414,67.5,53.0,14.5,0.215,0.08240226534712347,0.18804795781884587,-0.30375095541158526,-0.07682160332943586
double_conv_all_tauz,1.0,3,14,gamma_centered,central_pair,6.400329751890089,55.50405804818794,45.40844690165593,10.095611146532013,0.1818896041397032,67.5,53.0,14.5,0.215,-0.1777176585453638,-0.14323685091215232,-0.30375095541158526,-0.03311039586029679
double_conv_full_curv_all_tauz,1.15,3,14,gamma_centered,central_pair,9.432332559115395,78.59191606173745,67.19799453863979,11.393921523097658,0.14497574425017487,67.5,53.0,14.5,0.215,0.16432468239611042,0.26788668940829785,-0.21421230875188568,-0.07002425574982513
double_conv_all_tauz,1.05,3,14,gamma_centered,central_pair,6.209030251584688,51.32989867009394,38.974518752396165,12.355379917697777,0.24070532453430157,67.5,53.0,14.5,0.215,-0.23955705673934902,-0.2646317216529026,-0.14790483326222226,0.025705324534301577
double_conv_all_tauz,1.1,3,14,gamma_centered,central_pair,6.558910312812037,66.94649110203548,60.01169408146298,6.934797020572501,0.1035871620217247,67.5,53.0,14.5,0.215,-0.008200131821696544,0.13229611474458447,-0.5217381365122413,-0.1114128379782753
double_conv_all_tauz,1.2,3,14,gamma_centered,central_pair,11.731393211406735,49.33532303117726,32.3652097677888,16.970113263388463,0.34397490926864444,67.5,53.0,14.5,0.215,-0.26910632546404056,-0.38933566475870196,0.1703526388543768,0.12897490926864444
all_tauz,1.15,3,14,gamma_centered,central_pair,9.432332559115395,35.53907295268269,24.145151429585027,11.393921523097658,0.3206026656426214,67.5,53.0,14.5,0.215,-0.4734952155158121,-0.5444311051021693,-0.21421230875188568,0.10560266564262141
current_tauz_tau0,1.2,3,14,gamma_centered,central_pair,11.731393211406735,30.942150996538217,16.1826048838944,14.75954611264382,0.4770045273935579,67.5,53.0,14.5,0.215,-0.5415977630142486,-0.6946678323793509,0.01789973190647043,0.26200452739355795
all_tauz,1.05,3,14,gamma_centered,central_pair,6.209030251584688,31.842639293895857,19.487259376198082,12.355379917697777,0.38801368830209587,67.5,53.0,14.5,0.215,-0.5282571956459873,-0.6323158608264513,-0.14790483326222226,0.17301368830209587
all_tauz,1.2,3,14,gamma_centered,central_pair,11.731393211406735,33.15271814728286,16.1826048838944,16.970113263388463,0.5118769805841487,67.5,53.0,14.5,0.215,-0.5088486200402539,-0.6946678323793509,0.1703526388543768,0.2968769805841487
all_tauz,1.0,3,14,gamma_centered,central_pair,6.400329751890089,32.799834597359975,22.704223450827964,10.095611146532013,0.30779457489534406,67.5,53.0,14.5,0.215,-0.5140765244835559,-0.5716184254560761,-0.30375095541158526,0.09279457489534407
all_tauz,1.1,3,14,gamma_centered,central_pair,6.558910312812037,36.94064406130399,30.00584704073149,6.934797020572501,0.187728102657442,67.5,53.0,14.5,0.215,-0.4527311990917927,-0.43385194262770777,-0.5217381365122413,-0.027271897342558
current_tauz_tau0,1.15,3,14,gamma_centered,central_pair,9.432332559115395,30.99866316853382,24.145151429585027,6.853511738948793,0.22109055805689287,67.5,53.0,14.5,0.215,-0.5407605456513508,-0.5444311051021693,-0.5273440180035316,0.006090558056892875
current_tauz_tau0,1.1,3,14,gamma_centered,central_pair,6.558910312812037,34.24089498597409,30.00584704073149,4.235047945242601,0.12368391500798624,67.5,53.0,14.5,0.215,-0.49272748168927283,-0.43385194262770777,-0.7079277279143034,-0.09131608499201375
current_tauz_tau0,1.05,3,14,gamma_centered,central_pair,6.209030251584688,26.910401265292847,19.487259376198082,7.423141889094766,0.2758465701018221,67.5,53.0,14.5,0.215,-0.6013273886623283,-0.6323158608264513,-0.4880591800624299,0.06084657010182212
double_conv_half_curv_all_tauz,1.1,3,14,gamma_centered,central_pair,6.558910312812037,99.26916219747572,92.33436517690322,6.934797020572501,0.06985852269788616,67.5,53.0,14.5,0.215,0.4706542547774182,0.7421578335264758,-0.5217381365122413,-0.14514147730211385
current_tauz_tau0,1.0,3,14,gamma_centered,central_pair,6.400329751890089,26.97459555569686,22.704223450827964,4.270372104868897,0.15831088536810412,67.5,53.0,14.5,0.215,-0.6003763621378242,-0.5716184254560761,-0.7054915789745588,-0.05668911463189588
double_conv_full_curv_all_tauz,1.1,3,14,gamma_centered,central_pair,6.558910312812037,131.59183329291596,124.65703627234348,6.934797020572501,0.05269929635478241,67.5,53.0,14.5,0.215,0.9495086413765328,1.3520195523083673,-0.5217381365122413,-0.1623007036452176
