eta,normalization,interband_weight,pairing_symmetry_error,hermiticity_error_k,hermiticity_error_minus_k,particle_hole_error,gauge_projection_error,gauge_spectrum_error
0.0,fixed_frobenius_norm,0.0,0.0,0.0,0.0,5.174656255706444e-16,1.83739426969551e-16,5.100196888077788e-16
0.1,fixed_frobenius_norm,0.004180579225159791,9.066852658904598e-17,0.0,0.0,4.4668036619001e-16,1.6973232695109872e-16,5.382309500405889e-16
0.25,fixed_frobenius_norm,0.025696796652806244,7.977433935689824e-17,0.0,0.0,4.659495390747648e-16,2.098267011986342e-16,6.735003160035627e-16
0.5,fixed_frobenius_norm,0.09594712765613798,1.1024688577923875e-16,0.0,0.0,1.6995663930239282e-16,1.522486051087856e-16,5.132772010953457e-16
0.75,fixed_frobenius_norm,0.1931668482729689,1.309558764117044e-16,0.0,0.0,4.4050256173503935e-16,2.111298257049957e-16,3.5752153972513084e-16
1.0,fixed_frobenius_norm,0.2983849270671824,1.8579367298764915e-16,0.0,0.0,5.285700017312527e-16,3.0499772098147356e-16,2.802578016782092e-16
0.0,fixed_delta0,0.0,0.0,0.0,0.0,5.174656255706444e-16,1.83739426969551e-16,5.100196888077788e-16
0.1,fixed_delta0,0.004180579225159864,9.387173629343887e-17,0.0,0.0,4.1947473572267294e-16,1.8033663550219056e-16,5.062491355214009e-16
0.25,fixed_delta0,0.025696796652806296,1.1172407831589586e-16,0.0,0.0,7.827268669420477e-16,2.1717017709494705e-16,7.667637010867533e-16
0.5,fixed_delta0,0.09594712765613798,1.2959605511852156e-16,0.0,0.0,2.3030236274194096e-16,1.2527153149736603e-16,5.55814672988973e-16
0.75,fixed_delta0,0.19316684827296887,1.0803439210400137e-16,0.0,0.0,7.595609679614812e-16,1.4330898519373185e-16,7.233127642849573e-16
1.0,fixed_delta0,0.2983849270671823,8.834356273690839e-17,0.0,0.0,4.451430483636492e-16,1.646572815478422e-16,3.2473752593476293e-16
